image,item_number,description,culture_represented,set_id,set_description,category,gender,year,inspiration,link
,adv001,Achu,South American,5986-1,Amazon Ancient Ruins,Adventurers: Jungle,male,1999,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?S=5986-1#T=S&O={%22iconly%22:0}
,adv008,Gabarros,South American,5986-1,Amazon Ancient Ruins,Adventurers: Jungle,male,1999,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv008#T=S&O={%22iconly%22:0}
,hol139,"Daughter, Chinese New Year's Eve Dinner",Chinese,80101-1,Chinese New Year's Eve Dinner,Holiday & Event: Chinese New Year,female,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol139#T=S&O={%22iconly%22:0}
,hol142,"Father, Chinese New Year's Eve Dinner",Chinese,80101-1,Chinese New Year's Eve Dinner,Holiday & Event: Chinese New Year,male,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol142#T=S&O={%22iconly%22:0}
,hol140,"Grandfather, Chinese New Year's Eve Dinner",Chinese,80101-1,Chinese New Year's Eve Dinner,Holiday & Event: Chinese New Year,male,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol140#T=S&O={%22iconly%22:0}
,hol141,"Grandmother, Chinese New Year's Eve Dinner",Chinese,80101-1,Chinese New Year's Eve Dinner,Holiday & Event: Chinese New Year,female,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol141#T=S&O={%22iconly%22:0}
,hol138,"Mother, Chinese New Year's Eve Dinner",Chinese,80101-1,Chinese New Year's Eve Dinner,Holiday & Event: Chinese New Year,female,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol138#T=S&O={%22iconly%22:0}
,hol143,"Son, Chinese New Year's Eve Dinner",Chinese,80101-1,Chinese New Year's Eve Dinner,Holiday & Event: Chinese New Year,male,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol143#T=S&O={%22iconly%22:0}
,adv023,Señor Palomar (Senor Palomar),South American,5986-1,Amazon Ancient Ruins,Adventurers: Jungle,male,1999,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv023#T=S&O={%22iconly%22:0}
,adv027,Babloo,South Asian,7414-1,Elephant Caravan,Adventurers: Orient Expedition,male,2003,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv027#T=S&O={%22iconly%22:0}
,adv046,Dragon Fortress Guard - Conical Helmet,Chinese,"7419-1, 7416-1","Dragon Fortress, Emperor's Ship",Adventurers: Orient Expedition,male,2003,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv046#T=S&O={%22iconly%22:0}
,hol189,"Child Girl, Black Hair, Red Scarf, Dark Pink Puffy Jacket, White Shirt, Medium Blue Short Legs",Chinese,80105-1,Chinese New Year Temple Fair,Holiday & Event: Chinese New Year,female,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol189#T=S&O={%22iconly%22:0}
,hol183,"Food Vendor, Red Cap and Apron, Bright Light Orange Chinese Logogram '烧烤' (Barbecue)",Chinese,80105-1,Chinese New Year Temple Fair,Holiday & Event: Chinese New Year,male,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol183#T=S&O={%22iconly%22:0}
,hol187,"Man, Dark Red Jacket with Bright Light Blue Shirt, Dark Tan Legs, Red Scarf, Black Smooth Hair, Glasses",Chinese,80105-1,Chinese New Year Temple Fair,Holiday & Event: Chinese New Year,male,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol187#T=S&O={%22iconly%22:0}
,hol192,"Porcelain Vendor, Female, Light Bluish Gray Hair, Glasses, Sand Blue Tunic, Medium Nougat Sash, Tan Legs",Chinese,80105-1,Chinese New Year Temple Fair,Holiday & Event: Chinese New Year,female,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol192#T=S&O={%22iconly%22:0}
,hol195,"Shadow Puppeteer, Light Bluish Gray Hair, Glasses, Blue Changshan with Yellow Hem and Sash, Silver Circles Pattern",Chinese,80105-1,Chinese New Year Temple Fair,Holiday & Event: Chinese New Year,male,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol195#T=S&O={%22iconly%22:0}
,hol186,"Toy Vendor, Black Hair, Red Changshan with Bright Light Orange Wide Hem, Gold Circles Pattern",Chinese,80105-1,Chinese New Year Temple Fair,Holiday & Event: Chinese New Year,male,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol186#T=S&O={%22iconly%22:0}
,adv047,"Dragon Fortress Guard - Conical Helmet, Quiver",Chinese,7416-1,Emperor's Ship,Adventurers: Orient Expedition,male,2003,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv047#T=S&O={%22iconly%22:0}
,adv048,Emperor Chang Wu with Cape,Chinese,7419-1,Dragon Fortress,Adventurers: Orient Expedition,male,2003,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv048#T=S&O={%22iconly%22:0}
,adv050,Jing Lee the Wanderer,Chinese,"7419-1, 3382-1","Dragon Fortress, Jing Lee the Wanderer, Chupa Chups Promotional polybag",Adventurers: Orient Expedition,female,2003,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv050#T=S&O={%22iconly%22:0}
,adv030,Maharaja Lallu,South Asian,7418-1,Scorpion Palace,Adventurers: Orient Expedition,male,2003,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv030#T=S&O={%22iconly%22:0}
,adv032,Ngan Pa (Yeti Hunter),Mongolian,7417-1,Temple of Mount Everest,Adventurers: Orient Expedition,male,2003,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv032#T=S&O={%22iconly%22:0}
,hol264,"Grandfather, Black Shirt with Dark Red Scarf, Dark Brown Legs, Light Bluish Gray Hair",Chinese,80108-1,Lunar New Year Traditions,Holiday & Event: Chinese New Year,male,2022,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol264#T=S&O={%22iconly%22:0}
,hol268,The God of Wealth,Chinese,80108-1,Lunar New Year Traditions,Holiday & Event: Chinese New Year,male,2022,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol268#T=S&O={%22iconly%22:0}
,adv021,Pharaoh Hotep,Egyptian,"2996-1, 3021-1, 1183-1, 5958-1, 5988-1, 5978-1","Adventurers Tomb (The Lost Tomb), King Pharaoh the Third, Mummy and Cart, Mummy's Tomb, Pharaoh's Forbidden Ruins, Sphinx Secret Surprise",Adventurers: Desert,male,1998 - 2001,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv021#T=S&O={%22iconly%22:0}
,hol258,Year of the Tiger Guy,Chinese,80109-1,Lunar New Year Ice Festival,Holiday & Event: Chinese New Year,neutral,2022,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol258#T=S&O={%22iconly%22:0}
,adv031,Scorpion Palace Guard,South Asian,7418-1,Scorpion Palace,Adventurers: Orient Expedition,male,2003,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv031#T=S&O={%22iconly%22:0}
,adv053,Snake Charmer (Undetermined Eyebrows),South Asian,9349-1,Fairytale & Historic Minifigure Set,Adventurers,male,NA,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv053#T=S&O={%22iconly%22:0}
,adv053a,"Snake Charmer, Black Eyebrows",South Asian,9349-1,Fairytale & Historic Minifigure Set,Adventurers,male,2011 - 2016,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv053a#T=S&O={%22iconly%22:0}
,adv053b,"Snake Charmer, Reddish Brown Eyebrows",South Asian,9349-1,Fairytale & Historic Minifigure Set,Adventurers,male,2011 - 2016,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv053b#T=S&O={%22iconly%22:0}
,hol137,"Dragon Dance Performer, Pig Costume, No Tail, Open Mouth Smile with White Teeth and Red Tongue",Chinese,80102-1,Dragon Dance,Holiday & Event: Chinese New Year,male,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol137#T=S&O={%22iconly%22:0}
,hol136,"Dragon Dance Performer, Tied Red Bandana, Angry Eyebrows and Scowl",Chinese,80102-1,Dragon Dance,Holiday & Event: Chinese New Year,male,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol136#T=S&O={%22iconly%22:0}
,hol134,"Dragon Dance Performer, Tied Red Bandana, Open Mouth Smile with Teeth",Chinese,80102-1,Dragon Dance,Holiday & Event: Chinese New Year,male,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol134#T=S&O={%22iconly%22:0}
,hol133,"Dragon Dance Performer, Top Knot and Headband, Lopsided Grin",Chinese,80102-1,Dragon Dance,Holiday & Event: Chinese New Year,male,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol133#T=S&O={%22iconly%22:0}
,hol135,"Dragon Dance Performer, Top Knot and Headband, Scared / Lopsided Smile",Chinese,80102-1,Dragon Dance,Holiday & Event: Chinese New Year,male,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol135#T=S&O={%22iconly%22:0}
,iaj037,Cairo Swordsman,Egyptian,7195-1,Ambush in Cairo,Indiana Jones: Raiders of the Lost Ark,male,2009,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj037#T=S&O={%22iconly%22:0}
,hol180,"Lion Dance Musician, Red Head Wrap, Glasses, Red Robe with Gold Dragon",Chinese,80104-1,Lion Dance,Holiday & Event: Chinese New Year,male,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol180#T=S&O={%22iconly%22:0}
,hol181,"Lion Dance Musician, Red Head Wrap, Lopsided Grin, Raised Eyebrow, Red Robe with Gold Dragon",Chinese,80104-1,Lion Dance,Holiday & Event: Chinese New Year,male,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol181#T=S&O={%22iconly%22:0}
,hol179,"Lion Dance Musician, Red Head Wrap, Smile, Red Robe with Gold Dragon",Chinese,80104-1,Lion Dance,Holiday & Event: Chinese New Year,male,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol179#T=S&O={%22iconly%22:0}
,hol178,"Man, Lion Dance, Red Shirt, Red Legs with Gold Fringe",Chinese,80104-1,Lion Dance,Holiday & Event: Chinese New Year,male,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol178#T=S&O={%22iconly%22:0}
,hol175,"Mayor, Lion Dance, Red Scarf, Black Suit",Chinese,80104-1,Lion Dance,Holiday & Event: Chinese New Year,male,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol175#T=S&O={%22iconly%22:0}
,hol176,"Woman, Lion Dance, White Shirt, Gold Legs with Fringe",Chinese,80104-1,Lion Dance,Holiday & Event: Chinese New Year,female,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol176#T=S&O={%22iconly%22:0}
,hol177,"Woman, Lion Dance, White Shirt, White Legs with Red Fringe",Chinese,80104-1,Lion Dance,Holiday & Event: Chinese New Year,female,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol177#T=S&O={%22iconly%22:0}
,hol174,Year of the Rat Mascot Guy,Chinese,80104-1,Lion Dance,Holiday & Event: Chinese New Year,male,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol174#T=S&O={%22iconly%22:0}
,iaj038,Cairo Thug,Egyptian,7195-1,Ambush in Cairo,Indiana Jones: Raiders of the Lost Ark,male,2009,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj038#T=S&O={%22iconly%22:0}
,iaj018,Colonel Dovchenko,Ukranian,"7626-1, 7628-1","Jungle Cutter, Peril in Peru",Indiana Jones: Kingdom of the Crystal Skull,male,2008,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj018#T=S&O={%22iconly%22:0}
,iaj003,German Soldier 1,German,7620-1,Indiana Jones Motorcycle Chase,Indiana Jones: Last Crusade,male,2008,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj003#T=S&O={%22iconly%22:0}
,iaj005,German Soldier 2,German,7622-1,Race for the Stolen Treasure,Indiana Jones: Raiders of the Lost Ark,male,2008,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj005#T=S&O={%22iconly%22:0}
,iaj006,German Soldier 3,German,7622-1,Race for the Stolen Treasure,Indiana Jones: Raiders of the Lost Ark,male,2008,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj006#T=S&O={%22iconly%22:0}
,iaj004,German Soldier 4,German,7622-1,Race for the Stolen Treasure,Indiana Jones: Raiders of the Lost Ark,male,2008,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj004#T=S&O={%22iconly%22:0}
,iaj023,"
German Soldier 5",German,"7683-1, 7198-1","Fight on the Flying Wing, Fighter Plane Attack",Indiana Jones: Raiders of the Lost Ark,male,2009,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj023#T=S&O={%22iconly%22:0}
,hol223,"Child Boy, Red Shirt, Black Short Legs, Dark Azure Beanie",Chinese,80106-1,Story of Nian,Holiday & Event: Chinese New Year,male,2021,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol223#T=S&O={%22iconly%22:0}
,hol222,"Child Girl, Red Shirt with Bows and Flowers, Red Short Legs, Black Short Hair, Glasses",Chinese,80106-1,Story of Nian,Holiday & Event: Chinese New Year,female,2021,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol222#T=S&O={%22iconly%22:0}
,hol225,"Father, Red Shirt, Blue Legs, Black Hair",Chinese,80106-1,Story of Nian,Holiday & Event: Chinese New Year,male,2021,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol225#T=S&O={%22iconly%22:0}
,hol221,"Grandfather, Argyle Cardigan over Red Shirt, Dark Blue Legs, Light Bluish Gray Hair",Chinese,80106-1,Story of Nian,Holiday & Event: Chinese New Year,male,2021,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol221#T=S&O={%22iconly%22:0}
,hol220,"Grandmother, Floral Shirt, Black Legs, Light Bluish Gray Hair, Glasses",Chinese,80106-1,Story of Nian,Holiday & Event: Chinese New Year,female,2021,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol220#T=S&O={%22iconly%22:0}
,hol224,Year of the Ox Guy,Chinese,80106-1,Story of Nian,Holiday & Event: Chinese New Year,male,2021,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol224#T=S&O={%22iconly%22:0}
,hol230,"Child Boy, Monkie Kid Shirt, Red Scarf, Dark Green Short Legs, Black Hair",Chinese,80107-1,Spring Lantern Festival,Holiday & Event: Chinese New Year,male,2021,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol230#T=S&O={%22iconly%22:0}
,hol228,"Man, Dark Red '2021' Shirt, Blue Legs, Black Hair",Chinese,80107-1,Spring Lantern Festival,Holiday & Event: Chinese New Year,male,2021,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol228#T=S&O={%22iconly%22:0}
,hol223,Statue - Chinese New Year Lantern Festival,Chinese,80107-1,Spring Lantern Festival,Holiday & Event: Chinese New Year,N/A,2021,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol233#T=S&O={%22iconly%22:0}
,hol229,"Woman, Dark Red '2021' Shirt, Sand Blue Legs, Long Black Hair",Chinese,80107-1,Spring Lantern Festival,Holiday & Event: Chinese New Year,female,2021,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol229#T=S&O={%22iconly%22:0}
,iaj014,Irina Spalko,Russian,"7624-1, 7628-1, 7627-1","Jungle Duel, Peril in Peru, Temple of the Crystal Skull",Indiana Jones: Kingdom of the Crystal Skull:,female,2008 - 2009,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj014#T=S&O={%22iconly%22:0}
,iaj041,Kazim,Armenian,7197-1,Venice Canal Chase,Indiana Jones: Last Crusade,male,2009,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj041#T=S&O={%22iconly%22:0}
,iaj036,Marion Ravenwood - Red and White Cairo Outfit,Egyptian,7195-1,Ambush in Cairo,Indiana Jones: Raiders of the Lost Ark,female,2009,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj036#T=S&O={%22iconly%22:0}
,Tlr002,Tonto,American Indian,"30261-1, 79107-1, 79108-1, 79109-1, 79111-1","Tonto's Campfire, Comanche Camp, Stagecoach Escape, Colby City Showdown, Constitution Train Chase",Western: Indians,Male,2013,The Lone Ranger,https://www.bricklink.com/v2/catalog/catalogitem.page?M=tlr002&name=Tonto&category=%5BThe%20Lone%20Ranger%5D#T=S&O={%22iconly%22:0}
,Tlr003,Red Knee,American Indian,79107-1,Comanche Camp,Western: Indians,Male,2013,The Lone Ranger,https://www.bricklink.com/v2/catalog/catalogitem.page?M=tlr003&name=Red%20Knee&category=%5BThe%20Lone%20Ranger%5D#T=S&O={%22iconly%22:0}
,Tlr007,Chief Big Bear,American Indian,79110-1,Silver Mine Shootout,Western: Indians,Male,2013,The Lone Ranger,https://www.bricklink.com/v2/catalog/catalogitem.page?M=tlr007&name=Chief%20Big%20Bear&category=%5BThe%20Lone%20Ranger%5D#T=S&O={%22iconly%22:0}
,Tlr012,Tonto- Mine Outfit,American Indian,79110-1,Silver Mine Shootout,Western: Indians,Male,2013,The Lone Ranger,https://www.bricklink.com/v2/catalog/catalogitem.page?M=tlr012&name=Tonto%20-%20Mine%20Outfit&category=%5BThe%20Lone%20Ranger%5D#T=S&O={%22iconly%22:0}
,ww014,"Indian Red Shirt, Quiver",American Indian,"6763-1, 6766-1, 6748-1, 6747-1","Rapid River Village (2002), Rapid River Village (1997), Boulder Cliff Canyon,  Chief’s Tepee ",Western: Indians,Male,1997-2002,NA,"https://www.bricklink.com/v2/catalog/catalogitem.page?M=ww014&name=Indian%20Red%20Shirt,%20Quiver&category=%5BWestern%5D%5BIndians%5D#T=S&O={%22iconly%22:0}"
,ww016,"Indian Tan Shirt, Quiver",American Indian,"6766-1, 6748-1, 6178-1, 2846-1","Rapid River Village (1997), Boulder Cliff Canyon, Raindance Ridge, Indian Kayak",Western: Indians,Male,1997-2002,NA,"https://www.bricklink.com/v2/catalog/catalogitem.page?M=ww016&name=Indian%20Tan%20Shirt,%20Quiver&category=%5BWestern%5D%5BIndians%5D#T=S&O={%22iconly%22:0}"
,Ww017,Indian Chief,American Indian,"6763-1, 6766-1, 6747-1, 6709-1","Rapid River Village (2002), Rapid River Village (1997), Chief’s Tepee, Tribal Chief",Western: Indians,Male,1997-2002,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=ww017&name=Indian%20Chief&category=%5BWestern%5D%5BIndians%5D#T=S&O={%22iconly%22:0}
,ww017a,Indian Chief with LEGO Logo on Back,American Indian,N/A,N/A,Western: Indians,Male,1997,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=ww017a#T=S&O={%22iconly%22:0}
,ww018,"Indian Female, Quiver",American Indian,"6763-1, 6766-1, 6748-1, 6747-1","Rapid River Village (2002), Rapid River Village (1997), Boulder Cliff Canyon, Chief’s Tepee ",Western: Indians,Female,1997-2002,NA,"https://www.bricklink.com/v2/catalog/catalogitem.page?M=ww018&name=Indian%20Female,%20Quiver&category=%5BWestern%5D%5BIndians%5D#T=S&O={%22iconly%22:0}"
,ww019,Indian Medicine Man,American Indian,"6763-1, 6766-1, 6748-1, 6178-1, 2845-1","Rapid River Village (2002), Rapid River Village (1997), Boulder Cliff Canyon, Raindance Ridge, Indian Chief ",Western: Indians,Male,1997-2002,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=ww019&name=Indian%20Medicine%20Man&category=%5BWestern%5D%5BIndians%5D#T=S&O={%22iconly%22:0}
,ww022,Indian Red Shirt,American Indian,6748-1,Boulder Cliff Canyon,Western: Indians,Male,1997-2002,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=ww022#T=S&O={%22iconly%22:0}
,ww023,Indian Tan Shirt 2,American Indian,N/A,N/A,Western: Indians,Male,2002,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=ww023#T=S&O={%22iconly%22:0}
,ww024,Indian Chief 2,American Indian,N/A,N/A,Western: Indians,Male,2002,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=ww024#T=S&O={%22iconly%22:0}
,ww026,Indian Tan Shirt,American Indian,"6763-1, 6766-1","Rapid River Village (2002), Rapid River Village (1997)",Western: Indians,Male,1997-2002,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=ww026&name=Indian%20Tan%20Shirt&category=%5BWestern%5D%5BIndians%5D#T=S&O={%22iconly%22:0}
,Pi066,Islander Female,Pacific Islander (loosely),6256-1,Islander Catamaran,Pirates: Pirates I: Islanders,Female,1994,Pacific Islander,"https://www.bricklink.com/v2/catalog/catalogitem.page?M=pi066&name=Islander,%20Female&category=%5BPirates%5D%5BPirates%20I%5D%5BIslanders%5D#T=S&O={%22iconly%22:0}"
,Pi066A,"Islander, Female with Quiver",Pacific Islander (loosely),"6278-1, 6269-1","Enchanted Island (1994), Enchanted Island (2001)",Pirates: Pirates I: Islanders,Female,1994-2001,Pacific Islander,"https://www.bricklink.com/v2/catalog/catalogitem.page?M=pi066a&name=Islander,%20Female%20with%20Quiver&category=%5BPirates%5D%5BPirates%20I%5D%5BIslanders%5D#T=S&O={%22iconly%22:0}"
,Pi068,"Islander, King Kahuka",Pacific Islander (loosely),"6236-1, 6256-1, 6262-1, 6278-1 6269-1","King Kahuka, Islander Catamaran, King Kahuka’s Throne, Enchanted Island (1994), Enchanted Island (2001)",Pirates: Pirates I: Islanders,Male,1994-2001,Pacific Islander,"https://www.bricklink.com/v2/catalog/catalogitem.page?M=pi068&name=Islander,%20King%20Kahuka&category=%5BPirates%5D%5BPirates%20I%5D%5BIslanders%5D#T=S&O={%22iconly%22:0}"
,Pi069,"Islander, King, with Black Hair-Piece",Pacific Islander (loosely),6264-1,Forbidden Cove,Pirates: Pirates I: Islanders,Male,1994,Pacific Islander,"https://www.bricklink.com/v2/catalog/catalogitem.page?M=pi069&name=Islander,%20King,%20with%20Black%20Hair-Piece&category=%5BPirates%5D%5BPirates%20I%5D%5BIslanders%5D#T=S&O={%22iconly%22:0}"
