image,item_number,description,culture_represented,set_id,set_description,category,gender,year,inspiration,link
,Pi070,"Islander, Male",Pacific Islander (loosely),"6262-1, 6278-1, 6269-1","King Kahuka’s Throne, Enchanted Island (1994), Enchanted Island (2001)",Pirates: Pirates I: Islanders,Male,1994-2001,Pacific Islander,"https://www.bricklink.com/v2/catalog/catalogitem.page?M=pi070&name=Islander,%20Male&category=%5BPirates%5D%5BPirates%20I%5D%5BIslanders%5D#T=S&O={%22iconly%22:0}"
,Pi079,"Islander, Male with Quiver",Pacific Islander (loosely),"6246-1, 6264-1","Crocodile Cage, Forbidden Cove",Pirates: Pirates I: Islanders,Male,1994,Pacific Islander,"https://www.bricklink.com/v2/catalog/catalogitem.page?M=pi079&name=Islander,%20Male%20with%20Quiver&category=%5BPirates%5D%5BPirates%20I%5D%5BIslanders%5D#T=S&O={%22iconly%22:0}"
,iaj031,Mola Ram,South Asian,7199-1,The Temple of Doom,Indiana Jones: Temple of Doom,male,2008,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj031#T=S&O={%22iconly%22:0}
,iaj013,Russian Guard 1,Russian,"7626-1, 7628-1, 7627-1","Jungle Cutter, Peril in Peru, Temple of the Crystal Skull",Indiana Jones: Kingdom of the Crystal Skull,male,2008,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj013#T=S&O={%22iconly%22:0}
,iaj017,Russian Guard 2,Russian,"7626-1, 7625-1","Jungle Cutter, River Chase",Indiana Jones: Kingdom of the Crystal Skull,male,2008,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj017#T=S&O={%22iconly%22:0}
,iaj021,Russian Guard 3,Russian,7625-1,River Chase,Indiana Jones: Kingdom of the Crystal Skull,male,2008,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj021#T=S&O={%22iconly%22:0}
,iaj010,Satipo,South American,7623-1,Temple Escape,Indiana Jones: Raiders of the Lost Ark,male,2008,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj010#T=S&O={%22iconly%22:0}
,iaj028,Shanghai Gangster Grin,Chinese,7682-1,Shanghai Chase,Indiana Jones: Temple of Doom,male,2009,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj028#T=S&O={%22iconly%22:0}
,iaj027,Shanghai Gangster Moustache,Chinese,7682-1,Shanghai Chase,Indiana Jones: Temple of Doom,male,2009,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj027#T=S&O={%22iconly%22:0}
,iaj025,Short Round,Chinese,"7682-1, 7199-1","Shanghai Chase, The Temple of Doom",Indiana Jones: Temple of Doom,male,2009,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj025#T=S&O={%22iconly%22:0}
,iaj034,Temple Guard 1,South Asian,7199-1,The Temple of Doom,Indiana Jones: Temple of Doom,male,2009,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj034#T=S&O={%22iconly%22:0}
,iaj035,Temple Guard 2,South Asian,7199-1,The Temple of Doom,Indiana Jones: Temple of Doom,male,2009,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj035#T=S&O={%22iconly%22:0}
,dis004,"Aladdin, Disney, Series 1 (Minifigure Only without Stand and Accessories)",Middle Eastern and Asian,coldis-4,"Aladdin, Disney, Series 1 (Complete Set with Stand and Accessories)",Collectible Minifigures: Disney: Disney Series 1: coldis-4,male,2016,Aladdin,"https://www.bricklink.com/v2/catalog/catalogitem.page?M=dis004&name=Aladdin,%20Disney,%20Series%201%20(Minifigure%20Only%20without%20Stand%20and%20Accessories)&category=%5BCollectible%20Minifigures%5D%5BDisney%5D%5BDisney%20Series%201%5D#T=S&O={%22iconly%22:0}"
,iaj015,Ugha Warrior with Hair,South American,"comcon002-1, 7627-1","Indiana Jones BrickMaster Pack - San Diego Comic-Con 2008 Exclusive, Temple of the Crystal Skull",Indiana Jones: Kingdom of the Crystal Skull,female,2008,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj015#T=S&O={%22iconly%22:0}
,iaj016,Ugha Warrior without Hair,South American,"comcon002-1, 7627-1","Indiana Jones BrickMaster Pack - San Diego Comic-Con 2008 Exclusive, Temple of the Crystal Skull",Indiana Jones: Kingdom of the Crystal Skull,female,2008,Indiana Jones,https://www.bricklink.com/v2/catalog/catalogitem.page?M=iaj016#T=S&O={%22iconly%22:0}
,col381,"Ancient Warrior, Series 21 (Minifigure Only without Stand and Accessories)",Aztec,col21-8,"Ancient Warrior, Series 21 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 21 Minifigures,male,2021,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col381#T=S&O={%22iconly%22:0}
,coltlbm39,"Apache Chief, The LEGO Batman Movie, Series 2 (Minifigure Only without Stand and Accessories)",Native American,coltlbm2-15,"Apache Chief, The LEGO Batman Movie, Series 2 (Complete Set with Stand and Accessories)",Collectible Minifigures: Super Heroes: The LEGO Batman Movie: The LEGO Batman Movie Series 2,male,2018,LEGO Batman Movie,https://www.bricklink.com/v2/catalog/catalogitem.page?M=coltlbm39#T=S&O={%22iconly%22:0}
,col149,"Tomahawk Warrior, Series 10 (Minifigure Only without Stand and Accessories)",Mohawk,col10-5,"Tomahawk Warrior, Series 10 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 10 Minifigures,male,2013,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=117787#T=S&O={%22iconly%22:0}
,col034,"Tribal Chief, Series 3 (Minifigure Only without Stand and Accessories)",Indian,col03-3,"Tribal Chief, Series 3 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 3 Minifigures,male,2011,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=95948#T=S&O={%22iconly%22:0}
,col001,"Tribal Hunter, Series 1 (Minifigure Only without Stand and Accessories)",Indian,col01-1,"Tribal Hunter, Series 1 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 1 Minifigures,male,2010,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col001#T=S&O={%22iconly%22:0}
,col232,"Tribal Woman, Series 15 (Minifigure Only without Stand and Accessories)",Indian,col15-5,"Tribal Woman, Series 15 (Minifigure Only without Stand and Accessories)",Collectible Minifigures: Series 15 Minifigures,female,2016,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col232#T=S&O={%22iconly%22:0}
,col109,"Viking Woman, Series 7 (Minifigure Only without Stand and Accessories)",Viking,col07-13,"Viking Woman, Series 7 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 7 Minifigures,female,2012,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=109002#T=S&O={%22iconly%22:0}
,col054,"Viking, Series 4 (Minifigure Only without Stand and Accessories)",Viking,col04-6,"Viking, Series 4 (Minifigure Only without Stand and Accessories)",Collectible Minifigures: Series 4 Minifigures,male,2011,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=97088#T=S&O={%22iconly%22:0}
,col365,"Viking, Series 20 (Minifigure Only without Stand and Accessories)",Viking,col20-8,"Viking, Series 20 (Minifigure Only without Stand and Accessories)",Collectible Minifigures: Series 20 Minifigures,male,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=186839#T=S&O={%22iconly%22:0}
,col098,"Aztec Warrior, Series 7 (Minifigure Only without Stand and Accessories)",Aztec,col07-2,"Aztec Warrior, Series 7 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 7 Minifigures,male,2012,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col098#T=S&O={%22iconly%22:0}
,tlm012,"Taco Tuesday Guy, The LEGO Movie (Minifigure Only without Stand and Accessories)",Mexican,coltlm-12,"Taco Tuesday Guy, The LEGO Movie (Complete Set with Stand and Accessories)",Collectible Minifigures: The LEGO Movie,male,2014,"90307pb02: Red Minifigure, Headgear Hat, Mexican Sombrero with Bright Green Trim Pattern. 90542pb02: Yellow Minifigure Poncho Half Cloth with Green and Red Mexican Print Pattern",https://www.bricklink.com/v2/catalog/catalogitem.page?id=122180#T=S&O={%22iconly%22:0}
,col183,"Battle Goddess, Series 12 (Minifigure Only without Stand and Accessories)",Greek,col12-5,"Battle Goddess, Series 12 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 12 Minifigures,female,2014,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col183#T=S&O={%22iconly%22:0}
,colhp07,"Cho Chang, Harry Potter, Series 1 (Minifigure Only without Stand and Accessories)",Chinese,colhp-7,"Cho Chang, Harry Potter, Series 1 (Complete Set with Stand and Accessories)",Collectible Minifigures: Harry Potter: Harry Potter Series 1,female,2018,Harry Potter,https://www.bricklink.com/v2/catalog/catalogitem.page?M=colhp07#T=S&O={%22iconly%22:0}
,col114,"Conquistador, Series 8 (Minifigure Only without Stand and Accessories)",Spanish,col08-2,"Conquistador, Series 8 (Minifigure Only without Stand and Accessories)",Collectible Minifigures: Series 8 Minifigures,male,2012,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col114#T=S&O={%22iconly%22:0}
,col078,"Egyptian Queen, Series 5 (Minifigure Only without Stand and Accessories)",Egyptian,col05-14,"Egyptian Queen, Series 5 (Complete Set with Stand and Accessories)","Egyptian Queen, Series 5 (Complete Set with Stand and Accessories)",female,2011,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col078#T=S&O={%22iconly%22:0}
,col202,"Egyptian Warrior, Series 13 (Minifigure Only without Stand and Accessories)",Egyptian,col13-8,"Egyptian Warrior, Series 13 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 13 Minifigures,female,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col202#T=S&O={%22iconly%22:0}
,coltlnm19,"Sushi Chef, The LEGO Ninjago Movie (Minifigure Only without Stand and Accessories)",Japanese,coltnm-19,"Sushi Chef, The LEGO Ninjago Movie (Complete Set with Stand and Accessories)",Collectible Minifigures: The LEGO Ninjago Movie,male,2017,The LEGO Ninjago Movie,https://www.bricklink.com/v2/catalog/catalogitem.page?M=coltlnm19#T=S&O={%22iconly%22:0}
,coltm11,"Swedish Chef, The Muppets (Minifigure Only without Stand and Accessories)",Swedish,coltm-11,"Swedish Chef, The Muppets (Complete Set with Stand and Accessories)",Collectible Minifigures: The Muppets,male,2022,The Muppets,https://www.bricklink.com/v2/catalog/catalogitem.page?M=coltm11#T=S&O={%22iconly%22:0}
,col147,"Roman Commander, Series 10 (Minifigure Only without Stand and Accessories)",Roman,col10-3,"Roman Commander, Series 10 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 10 Minifigures,male,2013,N/A,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col147#T=S&O={%22iconly%22:0}
,col133,"Roman Emperor, Series 9 (Minifigure Only without Stand and Accessories)",Roman,col09-5,"Roman Emperor, Series 9 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 9 Minifigures,male,2013,N/A,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col133#T=S&O={%22iconly%22:0}
,col293,"Roman Gladiator, Series 17 (Minifigure Only without Stand and Accessories)",Roman,col17-8,"Roman Gladiator, Series 17 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 17 Minifigures,male,2017,N/A,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col293#T=S&O={%22iconly%22:0}
,col090,"Roman Soldier, Series 6 (Minifigure Only without Stand and Accessories)",Roman,col06-10,"Roman Soldier, Series 6 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 6 Minifigures,male,2012,N/A,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col090#T=S&O={%22iconly%22:0}
,gen098,Royal Guard,British,5005233-1,{Royal Guard polybag},Collectible Minifigures: Promotional,male,2018,N/A,https://www.bricklink.com/v2/catalog/catalogitem.page?M=gen098#T=S&O={%22iconly%22:0}
,col067,"Royal Guard, Series 5 (Minifigure Only without Stand and Accessories)",British,col05-3,"Royal Guard, Series 5 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 5 Minifigures,male,2011,N/A,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col067#T=S&O={%22iconly%22:0}
,col035,"Samurai Warrior, Series 3 (Minifigure Only without Stand and Accessories)",Japanese,col03-4,"Samurai Warrior, Series 3 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 3 Minifigures,male,2011,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col035#T=S&O={%22iconly%22:0}
,col206,"Samurai, Series 13 (Minifigure Only without Stand and Accessories)",Japanese,col13-12,"Samurai, Series 13 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 13 Minifigures,female,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col206#T=S&O={%22iconly%22:0}
,col032,"Pharaoh, Series 2 (Minifigure Only without Stand and Accessories)",Egyptian,col02-16,"Pharaoh, Series 2 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 2 Minifigures,male,2010,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col032#T=S&O={%22iconly%22:0}
,col156,"Revolutionary Soldier, Series 10 (Minifigure Only without Stand and Accessories)",European,col10-12,"Revolutionary Soldier, Series 10 (Complete Set with Stand and Accessories)",Collectible Minifiguers: Series 10 Minifigures,male,2013,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=117794#T=S&O={%22iconly%22:0}
,col088,"Minotaur, Series 6 (Minifigure Only without Stand and Accessories)",Greek,col06-8,"Minotaur, Series 6 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 6 Minifigures,N/A,2012,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col088#T=S&O={%22iconly%22:0}
,col347,"Mummy Queen, Series 19 (Minifigure Only without Stand and Accessories)",Egyptian,col19-6,"Mummy Queen, Series 19 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 19 Minifigures,female,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col347#T=S&O={%22iconly%22:0}
,col045,"Mummy, Series 3 (Minifigure Only without Stand and Accessories)",Egyptian,"col03-8, 850458-1","Mummy, Series 3 (Complete Set with Stand and Accessories), VIP Top 5 Boxed Minifigures",Collectible Minifiguers: Series 3 Minifigures,N/A,2011-2012,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col045#T=S&O={%22iconly%22:0}
,col012,"Ninja, Series 1 (Minifigure Only without Stand and Accessories)",Japanese,col01-12,"Ninja, Series 1 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 1 Minifigures,male,2010,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=93044#T=S&O={%22iconly%22:0}
,col115,"Lederhosen Guy, Series 8 (Minifigure Only without Stand and Accessories)",German,col08-3,"Lederhosen Guy, Series 8 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 8 Minifigures,male,2012,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col115#T=S&O={%22iconly%22:0}
,col089,"Leprechaun, Series 6 (Minifigure Only without Stand and Accessories)",Irish,col06-9,"Leprechaun, Series 6 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 6 Minifigures,male,2012,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col089#T=S&O={%22iconly%22:0}
,coltlnm03,"Lloyd, The LEGO Ninjago Movie (Minifigure Only without Stand and Accessories)",Japanese,coltlnm-3,"Lloyd, The LEGO Ninjago Movie (Complete Set with Stand and Accessories)",Collectible Minifigures: The LEGO Ninjago Movie,male,2017,The LEGO Ninjago Movie,https://www.bricklink.com/v2/catalog/catalogitem.page?M=coltlnm03#T=S&O={%22iconly%22:0}
,col256,"Mariachi, Series 16 (Minifigure Only without Stand and Accessories)",Mexican,col16-13,"Mariachi, Series 16 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 16 Minifigures,male,2016,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=147549#T=S&O={%22iconly%22:0}
,col017,"Mariachi / Maraca Man, Series 2 (Minifigure Only without Stand and Accessories)",Mexican,col02-1,"Mariachi / Maraca Man, Series 2 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 2 Minifigures,male,2010,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=94922#T=S&O={%22iconly%22:0}
,col367,"Martial Arts Boy, Series 20 (Minifigure Only without Stand and Accessories)",East Asian,col20-10,"Martial Arts Boy, Series 20 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 20 Minifigures,male,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col367#T=S&O={%22iconly%22:0}
,coltlnm04,"Master Wu, The LEGO Ninjago Movie (Minifigure Only without Stand and Accessories)",East Asian,coltlnm-4,"Master Wu, The LEGO Ninjago Movie (Complete Set with Stand and Accessories)",Collectible Minifigures: The LEGO Ninjago Movie,male,2017,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=157269#T=S&O={%22iconly%22:0}
,col180,"Hun Warrior, Series 12 (Minifigure Only without Stand and Accessories)",Chinese,col12-2,"Hun Warrior, Series 12 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 12 Minifigures,male,2014,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=129161#T=S&O={%22iconly%22:0}
,col167,"Island Warrior, Series 11 (Minifigure Only without Stand and Accessories)",Polynesian,col11-5,"Island Warrior, Series 11 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 11 Minifigures,male,2013,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=120412#T=S&O={%22iconly%22:0}
,dis035,"Jasmine, Disney, Series 2 (Minifigure Only without Stand and Accessories)",Middle Eastern and Asian,coldis2-12,"Jasmine, Disney, Series 2 (Complete Set with Stand and Accessories)",Collectible Minifigures: Disney: Disney Series 2,female,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=176004#T=S&O={%22iconly%22:0}
,tgb004,"Judo Fighter, Team GB (Minifigure Only without Stand and Accessories)",Japanese,coltgb-4,"Judo Fighter, Team GB (Complete Set with Stand and Accessories)",Collectible Minifigures: Team GB,female,2012,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=110465#T=S&O={%22iconly%22:0}
,col030,"Karate Master, Series 2 (Minifigure Only without Stand and Accessories)",Japanese,col02-14,"Karate Master, Series 2 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 2 Minifigures,male,2010,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=94914#T=S&O={%22iconly%22:0}
,col050,"Kimono Girl, Series 4 (Minifigure Only without Stand and Accessories)",Japanese,col04-2,"Kimono Girl, Series 4 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 4 Minifigures,female,2011,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=97086#T=S&O={%22iconly%22:0}
,coltlbm19,"King Tut, The LEGO Batman Movie, Series 1 (Minifigure Only without Stand and Accessories)",Egyptian,coltlbm-19,"King Tut, The LEGO Batman Movie, Series 1 (Complete Set with Stand and Accessories)",Collectible Minifigures: Super Heroes: The LEGO Batman Movie: The LEGO Batman Movie Series 1,male,2017,The LEGO Batman Movie,https://www.bricklink.com/v2/catalog/catalogitem.page?id=151573#T=S&O={%22iconly%22:0}
,colhp35,"Kingsley Shacklebolt, Harry Potter, Series 2 (Minifigure Only without Stand and Accessories)",Muslim/islamic,colhp2-13,"Kingsley Shacklebolt, Harry Potter, Series 2 (Complete Set with Stand and Accessories)",Collectible Minifigures: Harry Potter: Harry Potter Series 2,male,2020,Harry Potter,https://www.bricklink.com/v2/catalog/catalogitem.page?id=191528#T=S&O={%22iconly%22:0}
,col096,"Genie, Series 6 (Minifigure Only without Stand and Accessories)",Muslim/islamic,col06-16,"Genie, Series 6 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 6 Minifigures,male,2012,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=106339#T=S&O={%22iconly%22:0}
,col086,"Flamenco Dancer, Series 6 (Minifigure Only without Stand and Accessories)",Spanish,col06-6,"Flamenco Dancer, Series 6 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 6 Minifigures,female,2012,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=106328#T=S&O={%22iconly%22:0}
,col234,"Faun, Series 15 (Minifigure Only without Stand and Accessories)",Roman,col15-7,"Faun, Series 15 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 15 Minifigures,male,2016,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=141649#T=S&O={%22iconly%22:0}
,col379,"Centaur Warrior, Series 21 (Minifigure Only without Stand and Accessories)",Greek,col21-6,"Centaur Warrior, Series 21 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 21 Minifigures,female,2021,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col379#T=S&O={%22iconly%22:0}