...1,item_number,description,category,item_link,release_year
8186,sw0948,Chewbacca - Crossed Bandoliers and Goggles,Star Wars,https://bricklink.com/v2/catalog/catalogitem.page?M=sw0948,2018
3124,4555pb245,"Duplo Figure, Male, White Legs, White Top with Black Zipper and Racer #2, Round Eyes, Red Aviator Helmet",Duplo,https://bricklink.com/v2/catalog/catalogitem.page?M=4555pb245,1994
11827,cty0404,"Flannel Shirt with Pocket and Belt, Dark Tan Legs, Red Cap with Hole, Headphones, Beard",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0404,2013
8486,sw0984,Han Solo in Carbonite (Brick 1 x 2 x 5),Star Wars,https://bricklink.com/v2/catalog/catalogitem.page?M=sw0984,2000
12223,cty1390,"Madison - Orange Jacket, Dark Azure Backpack",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1390,2022
12308,cty0884,"Miner - Shirt with Straps, Dark Blue Legs, Mining Helmet, Goatee and Moustache",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0884,2018
5371,gen088,Mr. Rebrick (2016),LEGO Brand,https://bricklink.com/v2/catalog/catalogitem.page?M=gen088,2016
7759,soc144,"Soccer Fan - FC Barcelona, Male, Sand Blue Legs",Sports,https://bricklink.com/v2/catalog/catalogitem.page?M=soc144,2021
3392,fst004,FIRST LEGO League (FLL) Climate Connections Scientist 2,FIRST LEGO League,https://bricklink.com/v2/catalog/catalogitem.page?M=fst004,2008
1974,dp141,"Anna - Blue Skirt, Black Boots and Black Top, Light Aqua Sleeves without Cape",Disney,https://bricklink.com/v2/catalog/catalogitem.page?M=dp141,2021
1878,col227,Zombie Skateboarder,Collectible Minifigures,https://bricklink.com/v2/catalog/catalogitem.page?M=col227,2015
3727,frnd212,"Friends Mia, Magenta Trousers, Bright Light Blue Snowflake Sweater Top",Friends,https://bricklink.com/v2/catalog/catalogitem.page?M=frnd212,2017
10706,njo326,Puffer,The LEGO Ninjago Movie,https://bricklink.com/v2/catalog/catalogitem.page?M=njo326,2017
3362,fab9g,Fabuland Figure Mouse 7,Fabuland,https://bricklink.com/v2/catalog/catalogitem.page?M=fab9g,1986
11459,div021,Divers - Blue Oval and Black Dolphin Pattern,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=div021,"NA"
8686,sw0738,Lor San Tekka,Star Wars,https://bricklink.com/v2/catalog/catalogitem.page?M=sw0738,2016
5630,min052,Charged Creeper,Minecraft,https://bricklink.com/v2/catalog/catalogitem.page?M=min052,2017
8135,sw1158,Boba Fett - Repainted Beskar Armor and Jet Pack,Star Wars,https://bricklink.com/v2/catalog/catalogitem.page?M=sw1158,2021
12787,uagt022,Agent Steve Zeal,Ultra Agents,https://bricklink.com/v2/catalog/catalogitem.page?M=uagt022,2015
9887,sh540,Spider-Man (Miles Morales) - Black Hands,Super Heroes,https://bricklink.com/v2/catalog/catalogitem.page?M=sh540,2019
1470,colhp24,"Headmaster Albus Dumbledore, Harry Potter, Series 2 (Minifigure Only without Stand and Accessories)",Collectible Minifigures,https://bricklink.com/v2/catalog/catalogitem.page?M=colhp24,2020
7171,rac090,"Racer, Face Paint, Black Helmet with Pattern, Dark Gray Body",Racers,https://bricklink.com/v2/catalog/catalogitem.page?M=rac090,2003
1071,cas277,Knights Kingdom II - King with Crown & Black Cape (Chess King),Castle,https://bricklink.com/v2/catalog/catalogitem.page?M=cas277,2005
4721,hol281,"Man, Dark Red Jacket, Dark Tan Legs, Dark Bluish Gray Beanie, Ice Stakes",Holiday & Event,https://bricklink.com/v2/catalog/catalogitem.page?M=hol281,2022
9342,sh528,Batman - Heavy Armor,Super Heroes,https://bricklink.com/v2/catalog/catalogitem.page?M=sh528,2018
11437,cty1170,"Deep Sea Diver - Male, Dark Blue Helmet, Side Lamps, Glasses, Smile / Shocked",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1170,2020
8261,sw0394,Darth Maul (Silver Neck Clasp Torso),Star Wars,https://bricklink.com/v2/catalog/catalogitem.page?M=sw0394,2010
11205,cty0804,"City Jungle Explorer Female - Dark Orange Shirt with Green Strap, Dark Blue Legs, Dark Tan Cap with Hole, Black Eyebrows",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0804,2017
5335,gen028,LEGO Fan Weekend 2009 Minifigure,LEGO Brand,https://bricklink.com/v2/catalog/catalogitem.page?M=gen028,2009
7337,sp082,"Futuron Droid, Blue",Space,https://bricklink.com/v2/catalog/catalogitem.page?M=sp082,1987
5429,idea007,Classic Space - Green with Air Tanks and Motorcycle (Standard) Helmet with Visor (Pete),LEGO Ideas (CUUSOO),https://bricklink.com/v2/catalog/catalogitem.page?M=idea007,2014
6631,njo002,Wu Sensei - The Golden Weapons,Ninjago,https://bricklink.com/v2/catalog/catalogitem.page?M=njo002,2011
4000,85863pb091,Microfigure Heroica Zombie,Games,https://bricklink.com/v2/catalog/catalogitem.page?M=85863pb091,2012
11171,twn362,Child Girl with Dark Azure Hoodie and Ponytail,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=twn362,2019
7937,soc052,"Soccer Player Womens Team, Brown Ponytail Hair, with Freckles, Yellow Vest",Sports,https://bricklink.com/v2/catalog/catalogitem.page?M=soc052,2001
7495,sc018,Ford F-150 Raptor Driver,Speed Champions,https://bricklink.com/v2/catalog/catalogitem.page?M=sc018,2016
4409,hp142,"Ron Weasley, Dark Tan Sweater",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp142,2018
4065,85863pb008,Microfigure Ramses Pyramid Adventurer Orange (Without Belt),Games,https://bricklink.com/v2/catalog/catalogitem.page?M=85863pb008,2009
4256,hp066,"Harry Potter, Tournament Sleeveless Shirt & Swim Trunks, Flippers",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp066,2005
6987,pm026,"Power Miner - Engineer, Gray Outfit",Power Miners,https://bricklink.com/v2/catalog/catalogitem.page?M=pm026,2010
3992,85863pb057,Microfigure Heroica Knight,Games,https://bricklink.com/v2/catalog/catalogitem.page?M=85863pb057,2011
4732,hol099,"Medium Blue Jacket with Light Purple Scarf, Light Bluish Gray Short Legs, Freckles",Holiday & Event,https://bricklink.com/v2/catalog/catalogitem.page?M=hol099,2017
5619,min051,Alex - Medium Azure Helmet and Armor,Minecraft,https://bricklink.com/v2/catalog/catalogitem.page?M=min051,2017
8965,sw0660,Resistance Ground Crew,Star Wars,https://bricklink.com/v2/catalog/catalogitem.page?M=sw0660,2015
952,cas243,"Fright Knights - Knight 1, Black Dragon Helmet, Red Plume",Castle,https://bricklink.com/v2/catalog/catalogitem.page?M=cas243,1997
8613,sw0402,Jabba The Hutt - Tan Face,Star Wars,https://bricklink.com/v2/catalog/catalogitem.page?M=sw0402,2012
5008,jw035,"Tracker, Mohawk Wide",Jurassic World,https://bricklink.com/v2/catalog/catalogitem.page?M=jw035,2018
11219,cty1077,"City Space Robot, Treadwell, Medium Azure Eyes",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1077,2019
5796,mk054,Mr. Tang,Monkie Kid,https://bricklink.com/v2/catalog/catalogitem.page?M=mk054,2021
8111,sw0611,"Bespin Guard - Light Nougat Head, Detailed Gold Trim",Star Wars,https://bricklink.com/v2/catalog/catalogitem.page?M=sw0611,2015
6443,njo268,Nindroid - Neck Bracket,Ninjago,https://bricklink.com/v2/catalog/catalogitem.page?M=njo268,2016
5368,twn355,"Male with Dark Orange Hair, Glasses, Red Flannel Shirt, Red Legs (Ludo Red)",LEGO Brand,https://bricklink.com/v2/catalog/catalogitem.page?M=twn355,2018
215,atl001,Atlantis Diver 1 - Axel,Atlantis,https://bricklink.com/v2/catalog/catalogitem.page?M=atl001,2010
12721,trn056,"Red Vest and Zipper - Black Legs, White Construction Helmet, Sunglasses",Train,https://bricklink.com/v2/catalog/catalogitem.page?M=trn056,1997
4982,jw078,"Maisie Lockwood - Olive Green Jacket, Black Beanie",Jurassic World,https://bricklink.com/v2/catalog/catalogitem.page?M=jw078,2022
4493,hf019,Hero Factory Mini - Rocka - Flat Silver Armor,Hero Factory,https://bricklink.com/v2/catalog/catalogitem.page?M=hf019,2014
1678,col296,Retro Space Hero - Minifigure only Entry,Collectible Minifigures,https://bricklink.com/v2/catalog/catalogitem.page?M=col296,2017
2114,dis060,"Mirabel - Micro Doll, Open Eyes",Disney,https://bricklink.com/v2/catalog/catalogitem.page?M=dis060,2021
6482,njo491,Nya - Legacy,Ninjago,https://bricklink.com/v2/catalog/catalogitem.page?M=njo491,2019
2382,47205pb007,"Duplo Figure Lego Ville, Child Girl, White Legs, Dark Pink Top with White Lace Neckline, Blond Hair (Princess)",Duplo,https://bricklink.com/v2/catalog/catalogitem.page?M=47205pb007,2005
2703,47394pb301,"Duplo Figure Lego Ville, Male, Tan Legs, Reddish Brown Argyle Sweater Vest, White Arms, Light Bluish Gray Beard, Blue Cap",Duplo,https://bricklink.com/v2/catalog/catalogitem.page?M=47394pb301,2020
7338,sp125,"Futuron Droid, White with Black Arms, Trans Red Eye",Space,https://bricklink.com/v2/catalog/catalogitem.page?M=sp125,1988
4459,hp311,"Tom Riddle, Black Long Hogwarts Coat and Vest, Light Bluish Gray Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp311,2021
2009,dp126,Beast / Prince Adam - Large Eyes and Bow,Disney,https://bricklink.com/v2/catalog/catalogitem.page?M=dp126,2021
611,crs067,Tow Mater - Eyes Looking Straight,Cars,https://bricklink.com/v2/catalog/catalogitem.page?M=crs067,2011
2997,4555pb144,"Duplo Figure, Male Police, Dark Gray Legs, Black Top with Pale Green Vest and Police Badge, Blue Helmet",Duplo,https://bricklink.com/v2/catalog/catalogitem.page?M=4555pb144,2003
11687,cty0379,"Fire - Reflective Stripe Vest with Pockets and Shoulder Strap, Dark Brown Ponytail and Swept Sideways Fringe",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0379,2013
2966,4555pb256,"Duplo Figure, Male Clown, Red Legs, Yellow Top with 2 Buttons, Blue Arms, Red Aviator Helmet",Duplo,https://bricklink.com/v2/catalog/catalogitem.page?M=4555pb256,1996
9932,sh157,Supergirl,Super Heroes,https://bricklink.com/v2/catalog/catalogitem.page?M=sh157,2015
11849,twn419,Gallery Owner,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=twn419,2022
7340,sp018,Ice Planet - Male,Space,https://bricklink.com/v2/catalog/catalogitem.page?M=sp018,1993
8002,sw0139,Anakin Skywalker with Black Right Hand (without Hair),Star Wars,https://bricklink.com/v2/catalog/catalogitem.page?M=sw0139,2005
7369,lom001,"Life on Mars (LoM) Martian - Orange Body, Black Legs",Space,https://bricklink.com/v2/catalog/catalogitem.page?M=lom001,2001
1061,cas317,Knights Kingdom II - Hero Knight 4,Castle,https://bricklink.com/v2/catalog/catalogitem.page?M=cas317,2006
11778,cty0086,"Fire - Reflective Stripes, Black Legs, White Fire Helmet, Smirk and Stubble Beard, Life Jacket",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0086,2007
6975,pm009,Power Miner,Power Miners,https://bricklink.com/v2/catalog/catalogitem.page?M=pm009,"NA"
6510,njo693,Prince Benthomaar,Ninjago,https://bricklink.com/v2/catalog/catalogitem.page?M=njo693,2021
9463,sh568,Chitauri,Super Heroes,https://bricklink.com/v2/catalog/catalogitem.page?M=sh568,2019
6684,njo423,Zane - White Wu-Cru Training Gi,Ninjago,https://bricklink.com/v2/catalog/catalogitem.page?M=njo423,2018
8446,sw1111,"Gonk Droid (GNK Power Droid), Sand Green",Star Wars,https://bricklink.com/v2/catalog/catalogitem.page?M=sw1111,2020
1099,cas267,"Knights Kingdom II - Santis with Gold Pattern Armor, Dark Tan Hands",Castle,https://bricklink.com/v2/catalog/catalogitem.page?M=cas267,2005
1763,colsh04,"Stargirl, DC Super Heroes (Minifigure Only without Stand and Accessories)",Collectible Minifigures,https://bricklink.com/v2/catalog/catalogitem.page?M=colsh04,2020
10103,mar0093,"Baby Penguin, Super Mario, Series 4 (Character Only)",Super Mario,https://bricklink.com/v2/catalog/catalogitem.page?M=mar0093,2022
4749,hol020,"Overalls Farmer Green, Tan Female Hair",Holiday & Event,https://bricklink.com/v2/catalog/catalogitem.page?M=hol020,2013
7609,bob006,Mrs. Puff,SpongeBob SquarePants,https://bricklink.com/v2/catalog/catalogitem.page?M=bob006,2007
12706,trn059,"Railway Employee 5, Dark Gray Legs, Black Hat",Train,https://bricklink.com/v2/catalog/catalogitem.page?M=trn059,1998
12312,twn416,"Mom - Bright Light Orange Jacket, Medium Lavender Legs, Dark Orange Hair",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=twn416,2021
1066,cas293,Knights Kingdom II - Karzon,Castle,https://bricklink.com/v2/catalog/catalogitem.page?M=cas293,2006
7879,soc103,"Soccer Player French Team, White Legs Player 3",Sports,https://bricklink.com/v2/catalog/catalogitem.page?M=soc103,2002
2000,dp105,Aurora - Blue and Gold Filigree Dress,Disney,https://bricklink.com/v2/catalog/catalogitem.page?M=dp105,2020
11073,twn132,"Bride, Printed Legs",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=twn132,2011
12969,wr003,Official 1,World Racers,https://bricklink.com/v2/catalog/catalogitem.page?M=wr003,2010
4356,hp205,"Professor Filius Flitwick, Light Bluish Gray Vest",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp205,2019
11716,cty0524,"Fire - Reflective Stripes with Utility Belt, Dark Red Fire Helmet, Breathing Neck Gear with Air Tanks, Crooked Smile and Scar",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0524,2015
2258,crs060,Duplo Carla Veloso,Duplo,https://bricklink.com/v2/catalog/catalogitem.page?M=crs060,2011
5916,nex081,Gargoyle - Wings with Dark Purple Bones,Nexo Knights,https://bricklink.com/v2/catalog/catalogitem.page?M=nex081,2017
11789,cty1114,"Fire - Reflective Stripes, Bright Light Orange Suit, White Helmet, Crooked Grin",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1114,2020
3572,frnd360,"Friends Emma, Light Aqua Layered Skirt, White and Light Aqua Top with Coral Flamingo Birds",Friends,https://bricklink.com/v2/catalog/catalogitem.page?M=frnd360,2020
1549,colmar06,"Loki, Marvel Studios (Minifigure Only without Stand and Accessories)",Collectible Minifigures,https://bricklink.com/v2/catalog/catalogitem.page?M=colmar06,2021
7754,soc143,Soccer Clock Figure 2,Sports,https://bricklink.com/v2/catalog/catalogitem.page?M=soc143,2009
