name,name_detect,seconds,minutes,gender,species,notes
Admiral Ackbar,Ackbar,195,3.25,masculine,Mon Calamari,
Admiral Piett,Piett,195,3.25,masculine,Human,
Admiral Raddus,Raddus,75,1.25,masculine,Mon Calamari,
Allegiant General Pryde,Pryde,180,3,masculine,human,
Anakin Skywalker / Darth Vader,Anakin Skywalker,9890,164.83,masculine,Human,
Anakin Skywalker / Darth Vader,Darth Vader,9890,164.83,masculine,Human,
Babu Frik,Babu Frik,90,1.5,masculine,Anzellan,
Baze Malbus,Baze Malbus,495,8.25,masculine,human,
BB-8,BB-8 ,1320,22,masculine,Droid,
Beaumont,Beaumont,90,1.5,masculine,Human,
Ben Solo / Kylo Ren,Kylo Ren,3285,54.75,masculine,Human,
Beru Lars,Beru,210,3.5,feminine,Human,
Bib Fortuna,Bib Fortuna,165,2.75,masculine,Twi'lek,
Biggs Darklighter,Biggs Darklighter,60,1,masculine,Human,
Boba Fett,Boba Fett,300,5,masculine,Human,
Bodhi Rook,Bodhi Rook,705,11.75,masculine,human,
Boss Nass,Boss Nass,180,3,masculine,Gungan,
C-3PO,C-3PO,4275,71.25,masculine,Droid,
Captain Cassian Andor,Cassian Andor,1500,25,masculine,Human,
Captain Needa,Needa,90,1.5,masculine,Human,
Captain Panaka,Panaka,450,7.5,masculine,human,
Captain Phasma,Phasma,210,3.5,feminine,human,
Captain Tarpals,Tarpals,90,1.5,masculine,Gungan,
Captain Typho,Typho,135,2.25,masculine,human,
Chewbacca,Chewbacca,4815,80.25,masculine,Wookiee,
Chirrut Îmwe,Chirrut Îmwe,540,9,masculine,Human,
Cliegg Lars,Cliegg Lars,120,2,masculine,Human,
Commander Cody,Commander Cody,75,1.25,masculine,Human,
Commander D'Acy,Commander D'Acy,165,2.75,feminine,Human,"She's gay!! See the end of tRoS for on-screen lesbian kiss, however brief!"
Count Dooku / Darth Tyrannus,Count Dooku,690,11.5,masculine,Human,
D-0,D-0,135,2.25,neutral,Droid,
Darth Maul,Darth Maul,405,6.75,masculine,Zabrak,
Dexter Jettster,Dexter Jettster,105,1.75,masculine,Besalisk,
Director Orson Krennic,Orson,600,10,masculine,Human,
DJ,DJ,225,3.75,masculine,Human,
Dorme,Dorme,90,1.5,feminine,human,One of Padme's handmaidens (I had to look her up)
Dryden Vos,Dryden Vos,450,7.5,masculine,Human,
Enfys Nest,Enfys Nest,255,4.25,feminine,human,
Finn,Finn,4440,74,masculine,Human,
Galen Erso,Galen Erso,390,6.5,masculine,Human,
General Dodonna,Dodonna,135,2.25,masculine,human,
General Draven,Draven,135,2.25,masculine,human,
General Grievous,Grievous,360,6,masculine,"part-Kaleesh, mostly Droid (but don't tell him that)",
General Hux,Hux,615,10.25,masculine,Human,
General Rieekan,Rieekan,90,1.5,masculine,human,
Governor Sio Bibble,Sio Bibble,195,3.25,masculine,human,
Grand Moff Tarkin,Tarkin,540,9,masculine,human,
Han Solo,Han Solo,8310,138.5,masculine,Human,
Jabba the Hutt,Jabba the Hutt,405,6.75,masculine,Hutt,
Jango Fett,Jango Fett,285,4.75,masculine,Human,
Jannah,Jannah,300,5,feminine,human,
Jar Jar Binks,Jar Jar Binks,1215,20.25,masculine,Gungan,
Jyn Erso,Jyn Erso,2160,36,feminine,Human,
K-2S0,K-2S0,540,9,masculine,Droid,
Ki-Adi-Mundi,Ki-Adi-Mundi,255,4.25,masculine,Cerean,
L3-37,L3-37,435,7.25,feminine,Droid,
Lady Proxima,Lady Proxima,75,1.25,feminine,Grindalid,
Lama Su,Lama Su,120,2,masculine,Kaminoan,
Lando Calrissian,Lando Calrissian,1770,29.5,masculine,Human,
Leia Organa,Leia,4650,77.5,feminine,Human,
Lobot,Lobot,75,1.25,masculine,Human,
Lor San Tekka,Lor San Tekka,105,1.75,masculine,human,
Lt. Connix,Connix,240,4,feminine,human,
Luke Skywalker,Luke Skywalker,7935,132.25,masculine,Human,
Lyra Erso,Lyra Erso,90,1.5,feminine,human,
Mace Windu,Mace Windu,870,14.5,masculine,Human,
Maz Kanata,Maz Kanata,345,5.75,feminine,unknown alien,
Moff Jerjerod,Moff Jerjerod,90,1.5,masculine,human,
Mon Mothma,Mon Mothma,195,3.25,feminine,Human,
Nien Nunb,Nien Nunb,150,2.5,masculine,Sullustan,
Nute Gunray,Nute Gunray,495,8.25,masculine,Neimodian,
Obi-Wan Kenobi,Obi-Wan Kenobi,6795,113.25,masculine,Human,
Owen Lars,Owen Lars,315,5.25,masculine,Human,
Paige Tico,Paige,90,1.5,feminine,human,
Poe Dameron,Poe Dameron,2805,46.75,masculine,Human,
Qi'ra,Qi'ra,1770,29.5,feminine,Human,
Padme Amidala,Padme,4320,72,feminine,Human,
Qui-Gon Jinn,Qui-Gon Jinn,2130,35.5,masculine,Human,
R2-D2,R2-D2,3495,58.25,masculine,Droid,
Rey Skywalker,Rey,7890,131.5,feminine,Human,
Rio Durant,Rio Durant,180,3,masculine,Ardennian,
Rose Tico,Rose Tico,960,16,feminine,human,
Sabe,Sabe ,135,2.25,feminine,human,
Saw Gerrera,Saw Gerrera,285,4.75,masculine,Human,
Sebulba,Sebulba ,105,1.75,masculine,Dug,
Senator Bail Organa,Bail Organa,390,6.5,masculine,Human,
Palpatine / Darth Sidious,Palpatine,2955,49.25,masculine,Human,
Shmi Skywalker,Shmi Skywalker,555,9.25,feminine,Human,
Snap Wexley,Snap,90,1.5,masculine,human,
Supreme Chancellor Valorum,Supreme Chancellor Valorum,90,1.5,masculine,human,
Supreme Leader Snoke,Supreme Leader Snoke,405,6.75,masculine,Clone? Living sponge? who knows...,
Taun We,Taun We,150,2.5,feminine,Kaminoan,
Tobias Beckett,Tobias Beckett,1350,22.5,masculine,human ,
Unkar Plutt,Unkar Plutt,60,1,masculine,Crolute,
Val,Val ,315,5.25,feminine,human,
Vice-Admiral Amilyn Holdo,Holdo,330,5.5,feminine,human,She's the best--don't let my Mom tell you otherwise
Watto,Watto,360,6,masculine,Toydarian,
Wedge Antilles,Antilles,150,2.5,masculine,Human,
Wicket,Wicket,210,3.5,masculine,Ewok,
Yoda,Yoda,2610,43.5,masculine,mystery alien,
Zam Wesell,Zam Wesell,165,2.75,feminine,Clawdite,
Zorii Bliss,Zorii Bliss,270,4.5,feminine,human,