item_number,description,category
sw0586,Darth Vader (Tan Head),Star Wars Episode 4/5/6
sw1141,Darth Vader (Traditional Starched Fabric Cape),Star Wars Episode 4/5/6
sw0636,Darth Vader (Type 2 Helmet),Star Wars Episode 4/5/6
sw0277,Darth Vader (White Pupils),Star Wars Episode 4/5/6
sw0218,Darth Vader - Chrome Black,Star Wars Episode 4/5/6
sw0117,Darth Vader with Light-Up Lightsaber,Star Wars Episode 4/5/6
sw0768,Death Star Droid,Star Wars Episode 4/5/6
sw0374,Death Star Trooper,Star Wars Episode 4/5/6
sw0769,Death Star Trooper (Imperial Navy Trooper),Star Wars Episode 4/5/6
sw0149,Dengar,Star Wars Episode 4/5/6
sw0350,Dengar (Light Bluish Gray Torso),Star Wars Episode 4/5/6
sw0751,Dengar (White Torso),Star Wars Episode 4/5/6
sw1125,Dr. Cornelius Evazan,Star Wars Episode 4/5/6
sw0634,Emperor Palpatine,Star Wars Episode 4/5/6
sw1107,Emperor Palpatine (Hood Basic),Star Wars Episode 4/5/6
sw0124,"Emperor Palpatine - Light Bluish Gray Head, Light Bluish Gray Hands",Star Wars Episode 4/5/6
sw0595,"Emperor Palpatine - Tan Head, Tan Hands",Star Wars Episode 4/5/6
sw0066,"Emperor Palpatine - Yellow Head, Black Hands",Star Wars Episode 4/5/6
sw0041,"Emperor Palpatine - Yellow Head, Yellow Hands",Star Wars Episode 4/5/6
sw0240,Endor Rebel Commando - Beard,Star Wars Episode 4/5/6
sw0511,Endor Rebel Commando - Beard and Angry Dual Sided Head,Star Wars Episode 4/5/6
sw0367,Endor Rebel Commando - Dark Tan Vest,Star Wars Episode 4/5/6
sw0239,Endor Rebel Commando - Frown,Star Wars Episode 4/5/6
sw0368,Endor Rebel Commando - Stubble,Star Wars Episode 4/5/6
sw0507,Endor Rebel Trooper (Sand Green),Star Wars Episode 4/5/6
sw0645,Endor Rebel Trooper 1 (Olive Green),Star Wars Episode 4/5/6
sw0646,Endor Rebel Trooper 2 (Olive Green) (Commander Rex),Star Wars Episode 4/5/6
sw0072,EV-9D9,Star Wars Episode 4/5/6
sw0508,Ewok Warrior,Star Wars Episode 4/5/6
sw0050,"Ewok, Brown Hood (Wicket)",Star Wars Episode 4/5/6
sw0067,"Ewok, Tan Hood (Paploo)",Star Wars Episode 4/5/6
sw0959,FX-7 Medical Assistant Droid,Star Wars Episode 4/5/6
sw0075,Gamorrean Guard (Dark Gray Arms),Star Wars Episode 4/5/6
sw0405,"Gamorrean Guard (Olive Green, Detailed)",Star Wars Episode 4/5/6
sw0087,Gamorrean Guard (Reddish Brown Arms),Star Wars Episode 4/5/6
sw1127,Garindan,Star Wars Episode 4/5/6
sw0557,General Airen Cracken,Star Wars Episode 4/5/6
sw1140,General Jan Dodonna,Star Wars Episode 4/5/6
sw0579,General Maximillian Veers,Star Wars Episode 4/5/6
sw1154,General Maximillian Veers - Cap,Star Wars Episode 4/5/6
sw1175,General Maximillian Veers - Dual Molded Legs,Star Wars Episode 4/5/6
sw0178,General Maximillian Veers - Goggles Print and Dark Bluish Gray Helmet,Star Wars Episode 4/5/6
sw1101,General Maximillian Veers - Helmet with Goggles Print,Star Wars Episode 4/5/6
sw0289,General Maximillian Veers - Light Bluish Gray Helmet and Armor,Star Wars Episode 4/5/6
sw0460,General Rieekan,Star Wars Episode 4/5/6
sw0562,"Gonk Droid (GNK Power Droid), Dark Bluish Gray",Star Wars Episode 4/5/6
sw0073a,"Gonk Droid (GNK Power Droid), Dark Bluish Gray Body and Light Bluish Gray Legs",Star Wars Episode 4/5/6
sw1041,"Gonk Droid (GNK Power Droid), Dark Turquoise",Star Wars Episode 4/5/6
sw0073,"Gonk Droid (GNK Power Droid), Light and Dark Gray",Star Wars Episode 4/5/6
sw0430,"Gonk Droid (GNK Power Droid), Light Bluish Gray Body and Dark Bluish Gray Legs",Star Wars Episode 4/5/6
sw0767,"Gonk Droid (GNK Power Droid), Reddish Brown",Star Wars Episode 4/5/6
sw0157,Grand Moff Wilhuff Tarkin - Smooth Hair,Star Wars Episode 4/5/6
sw0770,Grand Moff Wilhuff Tarkin - Swept Back Hair,Star Wars Episode 4/5/6
sw0558,Gray Squadron Pilot,Star Wars Episode 4/5/6
sw0110,Greedo,Star Wars Episode 4/5/6
sw0898,Greedo (with Belt on Torso),Star Wars Episode 4/5/6
sw0553,Greedo (with Belt),Star Wars Episode 4/5/6
sw0356,Han Solo (Celebration),Star Wars Episode 4/5/6
sw0644,Han Solo (Endor Outfit),Star Wars Episode 4/5/6
sw0727,Han Solo (Hoth),Star Wars Episode 4/5/6
sw0466,"Han Solo (Hoth, Snow Goggles and Tan Bandana)",Star Wars Episode 4/5/6
sw0976,Han Solo - Dual Molded Legs,Star Wars Episode 4/5/6
sw0179,"Han Solo - Light Nougat, Black Vest",Star Wars Episode 4/5/6
sw0179a,"Han Solo - Light Nougat, Black Vest (2010)",Star Wars Episode 4/5/6
sw0253,"Han Solo - Light Nougat, Parka Hood, Tan Legs with Holster",Star Wars Episode 4/5/6
sw0253a,"Han Solo - Light Nougat, Parka Hood, Tan Legs with Holster (2010)",Star Wars Episode 4/5/6
sw0088,"Han Solo - Light Nougat, Reddish Brown Legs with Holster",Star Wars Episode 4/5/6
sw0088a,"Han Solo - Light Nougat, Reddish Brown Legs with Holster (2010)",Star Wars Episode 4/5/6
sw0205a,"Han Solo - Light Nougat, Stormtrooper Outfit (2010)",Star Wars Episode 4/5/6
sw0084,"Han Solo - Light Nougat, White Shirt, Reddish Brown Legs",Star Wars Episode 4/5/6
sw0081,"Han Solo - Light Nougat,Reddish Brown Hair, Tan Legs",Star Wars Episode 4/5/6
sw0709,"Han Solo - Parka, Dark Brown Coat (Hoth)",Star Wars Episode 4/5/6
sw0205,Han Solo - Stormtrooper Outfit,Star Wars Episode 4/5/6
sw0772,"Han Solo - Stormtrooper Outfit, Printed Legs",Star Wars Episode 4/5/6
sw1204,"Han Solo - Stormtrooper Outfit, Printed Legs, Shoulder Belts",Star Wars Episode 4/5/6
sw0978,Han Solo in Carbonite (Block with Handles),Star Wars Episode 4/5/6
sw0984,Han Solo in Carbonite (Brick 1 x 2 x 5),Star Wars Episode 4/5/6
sw0601,"Han Solo, Black Vest, Dark Blue Legs",Star Wars Episode 4/5/6
sw0334,"Han Solo, Black Vest, Dark Blue Legs, Eyes with Pupils",Star Wars Episode 4/5/6
sw1032,"Han Solo, Blue Legs (20th Anniversary Torso)",Star Wars Episode 4/5/6
sw0014,"Han Solo, Blue Legs (Falcon)",Star Wars Episode 4/5/6
sw0045,"Han Solo, Brown Legs with Holster Pattern",Star Wars Episode 4/5/6
sw0015,"Han Solo, Brown Legs without Holster Pattern (Skiff)",Star Wars Episode 4/5/6
sw0111,"Han Solo, Dark Blue Legs",Star Wars Episode 4/5/6
sw0539,"Han Solo, Dark Blue Legs, Vest with Pockets",Star Wars Episode 4/5/6
sw0771,"Han Solo, Dark Blue Legs, Vest with Pockets, Wavy Hair",Star Wars Episode 4/5/6
sw0714,"Han Solo, Dark Brown Legs",Star Wars Episode 4/5/6
sw0879,"Han Solo, Dark Brown Legs with Holster Pattern, Dark Blue Jacket, Wavy Hair",Star Wars Episode 4/5/6
sw1021,"Han Solo, Dark Brown Legs with Holster Pattern, Dark Blue Jacket, Wavy Hair, Smile / Frown",Star Wars Episode 4/5/6
sw0823,"Han Solo, Dark Brown Legs, Wavy Hair",Star Wars Episode 4/5/6
sw0290,"Han Solo, Reddish Brown Legs with Holster Pattern, Open Jacket",Star Wars Episode 4/5/6
sw0451,"Han Solo, Reddish Brown Legs with Holster Pattern, Vest with Pockets",Star Wars Episode 4/5/6
sw0278,"Han Solo, Reddish Brown Legs without Holster Pattern",Star Wars Episode 4/5/6
sw0403,"Han Solo, Reddish Brown Legs without Holster Pattern, Dual Sided Head",Star Wars Episode 4/5/6
sw0612,"Han Solo, Reddish Brown Legs without Holster Pattern, Dual Sided Head, Cheek Lines",Star Wars Episode 4/5/6
sw0343,"Han Solo, Tan Legs with Holster Pattern, Parka Hood with Tan Fur",Star Wars Episode 4/5/6
sw0258,Hoth Officer,Star Wars Episode 4/5/6
sw0016,"Hoth Rebel (Yellow Head, Brown Visor)",Star Wars Episode 4/5/6
sw0108,"Hoth Rebel (Yellow Head, White Visor Goggles)",Star Wars Episode 4/5/6
sw0167,"Hoth Rebel - Light Nougat Head, White Visor Goggles",Star Wars Episode 4/5/6
sw0252,"Hoth Rebel - Light Nougat Head, White Visor Snow Goggles",Star Wars Episode 4/5/6
sw0291,Hoth Rebel Trooper (Black Chin Dimple),Star Wars Episode 4/5/6
sw0259,Hoth Rebel Trooper (Orange Chin Dimple),Star Wars Episode 4/5/6
sw0736,Hoth Rebel Trooper Dark Tan Uniform (Brown Beard),Star Wars Episode 4/5/6
sw0735,Hoth Rebel Trooper Dark Tan Uniform (Frown),Star Wars Episode 4/5/6
sw1187,"Hoth Rebel Trooper Dark Tan Uniform and Helmet, White Legs",Star Wars Episode 4/5/6
sw1185,"Hoth Rebel Trooper Dark Tan Uniform and Helmet, White Legs, Female",Star Wars Episode 4/5/6
sw0425,Hoth Rebel Trooper Tan Uniform (Moustache),Star Wars Episode 4/5/6
sw0462,Hoth Rebel Trooper Tan Uniform (Stubble),Star Wars Episode 4/5/6
sw0678,Hoth Rebel Trooper White Uniform (Cheek Lines),Star Wars Episode 4/5/6
sw0708,Hoth Rebel Trooper White Uniform (Frown),Star Wars Episode 4/5/6
sw0760,Hoth Rebel Trooper White Uniform (Moustache),Star Wars Episode 4/5/6
sw0734,"Hoth Rebel Trooper White Uniform (Tan Beard, Backpack)",Star Wars Episode 4/5/6
sw0765,"Hoth Rebel Trooper White Uniform (Tan Beard, without Backpack)",Star Wars Episode 4/5/6
sw1188,"Hoth Rebel Trooper White Uniform, Dark Tan Helmet, Female",Star Wars Episode 4/5/6
sw1186,"Hoth Rebel Trooper White Uniform, Dark Tan Helmet, Reddish Brown Head",Star Wars Episode 4/5/6
sw1008,"Hoth Rebel Trooper White Uniform, Dark Tan Legs (Brown Angular Beard)",Star Wars Episode 4/5/6
sw1015,"Hoth Rebel Trooper White Uniform, Dark Tan Legs (Frown)",Star Wars Episode 4/5/6
sw1016,"Hoth Rebel Trooper White Uniform, Dark Tan Legs (Open Mouth Smile)",Star Wars Episode 4/5/6
sw1014,"Hoth Rebel Trooper White Uniform, Dark Tan Legs (White Beard)",Star Wars Episode 4/5/6
sw1026,"Hoth Rebel Trooper White Uniform, Dark Tan Legs, Backpack (Cheek Lines)",Star Wars Episode 4/5/6
sw1130,Hrchek Kal Fas,Star Wars Episode 4/5/6
sw0151,IG-88,Star Wars Episode 4/5/6
sw0831,IG-88,Star Wars Episode 4/5/6
sw0351,IG-88 (Printed Head),Star Wars Episode 4/5/6
sw0831a,IG-88 with Round 1 x 1 Plate,Star Wars Episode 4/5/6
sw0968,IG-88 without Round 1 x 1 Plate,Star Wars Episode 4/5/6
sw0093,Imperial AT-ST Pilot / Driver (Plain Helmet),Star Wars Episode 4/5/6
sw0401,"Imperial AT-ST Pilot / Driver (Plain Helmet, Dual Sided Head)",Star Wars Episode 4/5/6
sw0693,Imperial Crew - Black Cap,Star Wars Episode 4/5/6
sw0584,Imperial Crew - Dark Bluish Gray Cap,Star Wars Episode 4/5/6
sw0545,"Imperial Crew, Black Jumpsuit, Cavalry Kepi",Star Wars Episode 4/5/6
sw1044,Imperial Crewmember - Printed Arms,Star Wars Episode 4/5/6
sw0529,"Imperial Gunner (Closed Mouth, Silver Imperial Logo)",Star Wars Episode 4/5/6
sw1045,"Imperial Gunner (Closed Mouth, White Imperial Logo)",Star Wars Episode 4/5/6
sw0520,"Imperial Gunner (Open Mouth, Silver Imperial Logo)",Star Wars Episode 4/5/6
sw0774,"Imperial Navy Officer (Lieutenant / Security, Stormtrooper Captain)",Star Wars Episode 4/5/6
sw0583,Imperial Navy Trooper (Black Jumpsuit),Star Wars Episode 4/5/6
sw1142,Imperial Officer,Star Wars Episode 4/5/6
sw0582,Imperial Officer (Captain / Commandant / Commander),Star Wars Episode 4/5/6
sw0114,"Imperial Officer (Captain / Commandant / Commander) - Cavalry Kepi, Smile and Brown Eyebrows",Star Wars Episode 4/5/6
sw0293,"Imperial Officer (Captain / Commandant / Commander) - Cavalry Kepi, Smirk",Star Wars Episode 4/5/6
sw0154,"Imperial Officer (Captain / Commandant / Commander) - Cavalry Kepi, Standard Grin",Star Wars Episode 4/5/6
sw0046,"Imperial Officer (Captain / Commandant / Commander) - Police Cap, Yellow Head with Standard Grin",Star Wars Episode 4/5/6
sw0376,"Imperial Officer (Captain / Commandant / Commander) - Two Code Cylinders, Cavalry Kepi",Star Wars Episode 4/5/6
sw1043,Imperial Officer (Junior Lieutenant / Lieutenant) - Dual Molded Legs,Star Wars Episode 4/5/6
sw0877,Imperial Officer (Major / Colonel / Commodore),Star Wars Episode 4/5/6
sw0775,Imperial Officer - Light Bluish Gray Uniform,Star Wars Episode 4/5/6
sw0426,Imperial Officer with Battle Armor (Captain / Commandant / Commander) - Chin Strap,Star Wars Episode 4/5/6
sw0261,"Imperial Officer with Battle Armor (Captain / Commandant / Commander) - Dark Bluish Gray Legs, Smirk",Star Wars Episode 4/5/6
sw0294,Imperial Pilot (Cap),Star Wars Episode 4/5/6
sw1190,Imperial Probe Droid,Star Wars Episode 4/5/6
sw0459,"Imperial Probe Droid (Trans-Clear Dish Stand, Lever on Top)",Star Wars Episode 4/5/6
sw0171,"Imperial Probe Droid (White Dish Stand, Lever on Top)",Star Wars Episode 4/5/6
sw0682,Imperial Probe Droid - Mini,Star Wars Episode 4/5/6
sw1017,"Imperial Probe Droid, Black Sensors, Single Bar Frame Octagonal",Star Wars Episode 4/5/6
sw0847,"Imperial Probe Droid, Black Sensors, with Stand",Star Wars Episode 4/5/6
sw0847a,"Imperial Probe Droid, Black Sensors, without Stand",Star Wars Episode 4/5/6
sw0712a,"Imperial Probe Droid, Dark Bluish Gray Sensors (Dark Bluish Gray Round Plate Inside)",Star Wars Episode 4/5/6
sw0712,"Imperial Probe Droid, Dark Bluish Gray Sensors (Reddish Brown Round Plate Inside)",Star Wars Episode 4/5/6
sw1116,"Imperial Scout Trooper (Dual Molded Helmet) - Male, Light Nougat Head, Cheek Lines",Star Wars Episode 4/5/6
sw1007,"Imperial Scout Trooper (Dual Molded Helmet) - Male, Light Nougat Head, Scowl",Star Wars Episode 4/5/6
sw0042,Imperial Shuttle Pilot (Yellow Head),Star Wars Episode 4/5/6
sw0802,Imperial Shuttle Pilot - Light Nougat,Star Wars Episode 4/5/6
sw0997a,"Imperial Stormtrooper (Dual Molded Helmet, Black Squares on Back) - Male, Light Nougat Head, Scowl",Star Wars Episode 4/5/6
sw1168,"Imperial Stormtrooper (Dual Molded Helmet, Gray Squares on Back) - Female, Light Nougat Head, Angry Smile",Star Wars Episode 4/5/6
sw1137,"Imperial Stormtrooper (Dual Molded Helmet, Gray Squares on Back) - Male, Light Nougat Head, Frown",Star Wars Episode 4/5/6
sw0997b,"Imperial Stormtrooper (Dual Molded Helmet, Gray Squares on Back) - Male, Light Nougat Head, Scowl",Star Wars Episode 4/5/6
sw1167,"Imperial Stormtrooper (Dual Molded Helmet, Gray Squares on Back) - Male, Reddish Brown Head, Grimace",Star Wars Episode 4/5/6
sw0036b,"Imperial Stormtrooper - Black Head, Solid Mouth Helmet",Star Wars Episode 4/5/6
sw0188a,"Imperial Stormtrooper - Light Nougat Head, Dotted Mouth Helmet",Star Wars Episode 4/5/6
sw0036a,"Imperial Stormtrooper - Light Nougat Head, Solid Mouth Helmet",Star Wars Episode 4/5/6
sw0122,Imperial Stormtrooper - Printed Legs and Hips,Star Wars Episode 4/5/6
sw0036,Imperial Stormtrooper - Yellow Head,Star Wars Episode 4/5/6
sw0457,Imperial TIE Fighter / Bomber Pilot,Star Wars Episode 4/5/6
sw0268,Imperial TIE Fighter / Defender Pilot,Star Wars Episode 4/5/6
sw0035b,Imperial TIE Fighter / Interceptor Pilot,Star Wars Episode 4/5/6
sw0788,Imperial TIE Fighter / Striker Pilot,Star Wars Episode 4/5/6
sw0268a,"Imperial TIE Fighter Pilot - Black Head, Balaclava",Star Wars Episode 4/5/6
sw0035,Imperial TIE Fighter Pilot - Brown Head,Star Wars Episode 4/5/6
sw1138,"Imperial TIE Fighter Pilot - Light Nougat Head, Frown",Star Wars Episode 4/5/6
sw0543,"Imperial TIE Fighter Pilot - Light Nougat Head, Scowl, Silver Insignia on Helmet",Star Wars Episode 4/5/6
sw0926,"Imperial TIE Fighter Pilot - Light Nougat Head, Scowl, White Insignia on Helmet",Star Wars Episode 4/5/6
sw0632,Imperial TIE Fighter Pilot - Printed Arms,Star Wars Episode 4/5/6
sw0035a,Imperial TIE Fighter Pilot - Reddish Brown Head,Star Wars Episode 4/5/6
sw0208,Imperial Trooper (Black Helmet),Star Wars Episode 4/5/6
sw0208a,Imperial Trooper (Light Bluish Gray Helmet),Star Wars Episode 4/5/6
sw0211,Interrogation Droid (Screwdriver - Narrow Head),Star Wars Episode 4/5/6
sw0211a,Interrogation Droid (Screwdriver - Wide Head),Star Wars Episode 4/5/6
sw0776,Interrogation Droid (Syringe),Star Wars Episode 4/5/6
sw0071,Jabba the Hutt,Star Wars Episode 4/5/6
sw0402,Jabba The Hutt - Tan Face,Star Wars Episode 4/5/6
sw0560,Jawa - Straps,Star Wars Episode 4/5/6
sw0896,Jawa - Straps with Black Stains,Star Wars Episode 4/5/6
sw0897,Jawa - Tattered Shirt,Star Wars Episode 4/5/6
sw0141,Jawa with Cape,Star Wars Episode 4/5/6
sw0590,Jawa with Gold Badge,Star Wars Episode 4/5/6
sw0372,Jek Porkins,Star Wars Episode 4/5/6
sw0165,K-3PO,Star Wars Episode 4/5/6
sw0725,K-3PO (Printed Legs),Star Wars Episode 4/5/6
sw1129,Kabe,Star Wars Episode 4/5/6
sw0397,Kithaba,Star Wars Episode 4/5/6
sw1126,Labria (Kardue'sai'Malloc),Star Wars Episode 4/5/6
sw0818,Lando Calrissian - General Insignia (Light Bluish Gray Legs),Star Wars Episode 4/5/6
sw0251,Lando Calrissian - General Insignia (Sand Blue Legs),Star Wars Episode 4/5/6
sw0086,"Lando Calrissian - Skiff Guard, Reddish Brown Hips",Star Wars Episode 4/5/6
sw0398,"Lando Calrissian - Skiff Guard, Tan Hips",Star Wars Episode 4/5/6
sw1027,"Lando Calrissian, Cloud City Outfit (20th Anniversary Torso)",Star Wars Episode 4/5/6
sw0973,"Lando Calrissian, Cloud City Outfit (Coiled Texture Hair)",Star Wars Episode 4/5/6
sw0105,"Lando Calrissian, Cloud City Outfit (Smooth Hair)",Star Wars Episode 4/5/6
sw0681,LIN Demolitionmech Droid,Star Wars Episode 4/5/6
sw0049,Lobot (Yellow Head),Star Wars Episode 4/5/6
sw0400,"Lobot - Light Nougat, Black Eyebrows",Star Wars Episode 4/5/6
sw0974,"Lobot - Light Nougat, Dark Orange Eyebrows",Star Wars Episode 4/5/6
sw0338,Logray (Ewok),Star Wars Episode 4/5/6
sw0106a,Luke Skywalker,Star Wars Episode 4/5/6
sw0342,Luke Skywalker (Bacta Tank Outfit),Star Wars Episode 4/5/6
sw0957,"Luke Skywalker (Bacta Tank Outfit, Dark Tan Hair)",Star Wars Episode 4/5/6
sw0257,Luke Skywalker (Celebration),Star Wars Episode 4/5/6
sw0257a,Luke Skywalker (Celebration) - White Pupils,Star Wars Episode 4/5/6
sw0971,"Luke Skywalker (Cloud City, Dark Tan Shirt)",Star Wars Episode 4/5/6
sw0103,"Luke Skywalker (Cloud City, Tan Shirt)",Star Wars Episode 4/5/6
sw0106,"Luke Skywalker (Dagobah, Sand Green Tank Top, Backpack)",Star Wars Episode 4/5/6
sw1199,"Luke Skywalker (Dagobah, Tan Tank Top)",Star Wars Episode 4/5/6
sw0907,"Luke Skywalker (Dagobah, Tan Tank Top, Backpack)",Star Wars Episode 4/5/6
sw0395,Luke Skywalker (Dark Bluish Gray Jedi Robe),Star Wars Episode 4/5/6
sw0433,"Luke Skywalker (Dark Bluish Gray Jedi Robe, Dual Sided Head)",Star Wars Episode 4/5/6
sw0018,Luke Skywalker (Endor),Star Wars Episode 4/5/6
sw0098,Luke Skywalker (Hoth),Star Wars Episode 4/5/6
sw1143,"Luke Skywalker (Hoth, Balaclava Head)",Star Wars Episode 4/5/6
sw0731,"Luke Skywalker (Hoth, Face with Scars)",Star Wars Episode 4/5/6
sw0079,Luke Skywalker (Jabba's Palace),Star Wars Episode 4/5/6
sw0207,Luke Skywalker (Jedi Knight),Star Wars Episode 4/5/6
sw0292,"Luke Skywalker (Jedi Knight, Pupils)",Star Wars Episode 4/5/6
sw0635,Luke Skywalker (Jedi Master),Star Wars Episode 4/5/6
sw0509,"Luke Skywalker (Jedi Master, Endor, Dark Tan Hair, Smile / Open Mouth)",Star Wars Episode 4/5/6
sw0880,"Luke Skywalker (Jedi Master, Endor, Dark Tan Hair, Stern / Smile)",Star Wars Episode 4/5/6
sw0880a,"Luke Skywalker (Jedi Master, Endor, Tan Hair, Stern / Smile)",Star Wars Episode 4/5/6
sw0019a,Luke Skywalker (Pilot with Dark Bluish Gray Hips),Star Wars Episode 4/5/6
sw1024,"Luke Skywalker (Pilot, 20th Anniversary Torso)",Star Wars Episode 4/5/6
sw0952,"Luke Skywalker (Pilot, Dual Molded Helmet)",Star Wars Episode 4/5/6
sw0461,"Luke Skywalker (Pilot, Printed Legs)",Star Wars Episode 4/5/6
sw0569,"Luke Skywalker (Pilot, Printed Legs, Cheek Lines)",Star Wars Episode 4/5/6
sw0991,"Luke Skywalker (Pilot, Printed Legs, Visor Up / Down)",Star Wars Episode 4/5/6
sw1139,"Luke Skywalker (Pilot, Printed Legs, Visor Up / Down, Askew Front Panel)",Star Wars Episode 4/5/6
sw1086,Luke Skywalker (Poncho),Star Wars Episode 4/5/6
sw0020,Luke Skywalker (Skiff),Star Wars Episode 4/5/6
sw0021,Luke Skywalker (Tatooine),Star Wars Episode 4/5/6
sw0566,Luke Skywalker (Tatooine) - 2014 version,Star Wars Episode 4/5/6
sw0335,"Luke Skywalker (Tatooine, Gray Visor on Reverse of Head)",Star Wars Episode 4/5/6
sw0432,"Luke Skywalker (Tatooine, Smiling)",Star Wars Episode 4/5/6
sw1198,"Luke Skywalker (Tatooine, White Legs, Blue Milk on Mouth)",Star Wars Episode 4/5/6
sw0551,"Luke Skywalker (Tatooine, White Legs, Detailed Face Print)",Star Wars Episode 4/5/6
sw0778,"Luke Skywalker (Tatooine, White Legs, Stern / Smile Face Print)",Star Wars Episode 4/5/6
sw0083,"Luke Skywalker -  Light Nougat, Black Tunic",Star Wars Episode 4/5/6
sw0176,"Luke Skywalker - Light Nougat, Long Hair, White Tunic, Tan Legs",Star Wars Episode 4/5/6
sw0273,"Luke Skywalker - Light Nougat, Long Hair, White Tunic, Tan Legs, White Glints",Star Wars Episode 4/5/6
sw0295,"Luke Skywalker - Light Nougat, X-Wing Pilot Suit, Detailed Torso and Helmet",Star Wars Episode 4/5/6
sw0090a,"Luke Skywalker - Light Nougat, X-Wing Pilot Suit, Detailed Torso and Helmet (2010)",Star Wars Episode 4/5/6
sw0090,"Luke Skywalker - Light Nougat, X-Wing Pilot Suit, Simple Torso and Helmet",Star Wars Episode 4/5/6
sw0204,Luke Skywalker - Stormtrooper Outfit,Star Wars Episode 4/5/6
sw0777,"Luke Skywalker - Stormtrooper Outfit, Printed Legs",Star Wars Episode 4/5/6
